data;Alqueva;Castelo de bode;Marateca;Caia;Maranhão- Avis;Douro- Cabreira;Douro- Vilar;Douro-Tua;Alto- Lindoso;Miranda-Douro;Aguieira;Alvito;Valeira;Bemposta;Carrapatelo;Pocinho;Picote;Baixo Sabor;Régua;Crestuma - Lever;Varosa
01.01.2018;0;0;0;0;0;0;0;0;0.3;0.2;0;0;0.2;0;0;0;0.2;0.2;0.2;0;0.2
02.01.2018;0;0;0;0;0;0;0.4;0;2;1.1;0;0;1.1;0;0;0;1.1;1.1;1.1;0;1.1
03.01.2018;0;0;0;0;0;0;0;0;0.6;0.6;0;0;0.6;0;0;0;0.6;0.6;0.6;0;0.6
04.01.2018;0;0;0;0;0;0;0.1;0;0.5;0.3;0;0;0.3;0;0;0;0.3;0.3;0.3;0;0.3
05.01.2018;2.9;2.8;2.2;1.2;2.4;0;1.7;0;5.9;1.5;2.8;2.1;1.5;0;0;0;1.5;1.5;1.5;0;1.5
06.01.2018;0.9;0;0;0.3;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0
07.01.2018;0;0;0.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2018;0;0.1;0;1.1;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0
09.01.2018;1.2;1.2;0.9;1.8;1;0;0.8;0;1.8;0.7;1.2;1.2;0.7;0;0;0;0.7;0.7;0.7;0;0.7
10.01.2018;0.1;0.3;0.2;0;0.2;0;1.8;0;1.7;2.3;0.3;0.1;2.3;0;0;0;2.3;2.3;2.3;0;2.3
11.01.2018;0;0;0;0;0.1;0;0;0;0.6;0.1;0;0.1;0.1;0;0;0;0.1;0.1;0.1;0;0.1
12.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.01.2018;0.1;3.6;2.7;0.7;1.9;0;3.1;0;4.4;2.8;3.6;1.1;2.8;0;0;0;2.8;2.8;2.8;0;2.8
14.01.2018;0.5;0.2;0;0;0.2;0;0;0;1.1;0;0.2;0.2;0;0;0;0;0;0;0;0;0
15.01.2018;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2018;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2018;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
18.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.01.2018;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
21.01.2018;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
22.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.01.2018;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0
25.01.2018;0.4;0.2;0.3;0.6;0.5;0;3.1;0;3.6;2.7;0.2;0.7;2.7;0;0;0;2.7;2.7;2.7;0;2.7
26.01.2018;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0
27.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2018;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0.1;0;0;0;0.1;0.1;0.1;0;0.1
02.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.02.2018;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0
04.02.2018;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.02.2018;0.2;0.2;0.2;0;0;0;0.1;0;0;0;0.2;0.4;0;0;0;0;0;0;0;0;0
06.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.02.2018;0;0;0;0;0;0;0.4;0;0.1;0.4;0;0.1;0.4;0;0;0;0.4;0.4;0.4;0;0.4
10.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.02.2018;0;0.1;0;0.2;0.2;0;0.3;0;2.4;0.3;0.1;0.1;0.3;0;0;0;0.3;0.3;0.3;0;0.3
12.02.2018;0.6;0;0;0.5;0.1;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0
13.02.2018;0;0;0;0;0;0;0.3;0;0.8;0.5;0;0;0.5;0;0;0;0.5;0.5;0.5;0;0.5
14.02.2018;0;0;0.2;0;0;0;0.8;0;3;0.6;0;0;0.6;0;0;0;0.6;0.6;0.6;0;0.6
15.02.2018;0;0;0;0;0;0;1;0;7.4;1.3;0;0;1.3;0;0;0;1.3;1.3;1.3;0;1.3
16.02.2018;0;0;0;0;0;0;0;0;2.2;0.4;0;0;0.4;0;0;0;0.4;0.4;0.4;0;0.4
17.02.2018;0;0;0;0;0;0;0.2;0;0.5;0.2;0;0;0.2;0;0;0;0.2;0.2;0.2;0;0.2
18.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.02.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2018;1.3;0;0;0;0.2;0;0;0;0;0;0;0.9;0;0;0;0;0;0;0;0;0
27.02.2018;0.1;1.1;2.4;0.9;0.7;0;3.6;0;3.3;2.7;1.1;0.4;2.7;0;0;0;2.7;2.7;2.7;0;2.7
28.02.2018;5.3;3.1;4.5;4.7;3.3;0;5.5;0;8.8;6.8;3.1;3.9;6.8;0;0;0;6.8;6.8;6.8;0;6.8
01.03.2018;4.2;2.8;4.3;4;2.2;0;1.5;0;8.3;2.4;2.8;2.7;2.4;0;0;0;2.4;2.4;2.4;0;2.4
02.03.2018;0.7;1.1;1.6;0.9;0.8;0;2.5;0;1.8;3.5;1.1;0.9;3.5;0;0;0;3.5;3.5;3.5;0;3.5
03.03.2018;2.1;2.5;3.5;2.7;2.4;0;2.4;0;4;5.3;2.5;2.3;5.3;0;0;0;5.3;5.3;5.3;0;5.3
04.03.2018;2.1;1.3;2;2.3;1.5;0;0.9;0;1.4;1.4;1.3;2.1;1.4;0;0;0;1.4;1.4;1.4;0;1.4
05.03.2018;2;2;2.1;1.5;2;0;2.7;0;3.6;3.2;2;1.8;3.2;0;0;0;3.2;3.2;3.2;0;3.2
06.03.2018;1;0.5;0.3;0.5;1.1;0;0.5;0;2.2;0.4;0.5;1.3;0.4;0;0;0;0.4;0.4;0.4;0;0.4
07.03.2018;1.1;0.2;0;0.1;0.5;0;0;0;0;0;0.2;1.2;0;0;0;0;0;0;0;0;0
08.03.2018;0.6;1.1;1.3;1.4;1.2;0;1.2;0;0.6;0.5;1.1;0.7;0.5;0;0;0;0.5;0.5;0.5;0;0.5
09.03.2018;6;4.3;6.9;2.2;2.3;0;2.2;0;6;2.7;4.3;2.8;2.7;0;0;0;2.7;2.7;2.7;0;2.7
10.03.2018;1.5;2.1;2;1.3;1.6;0;1.3;0;3.9;2.8;2.1;1.4;2.8;0;0;0;2.8;2.8;2.8;0;2.8
11.03.2018;0.7;1.5;1.1;0.7;1.1;0;4.6;0;5.4;5.3;1.5;0.9;5.3;0;0;0;5.3;5.3;5.3;0;5.3
12.03.2018;0;0;0;0;0;0;1.1;0;0.6;0.9;0;0;0.9;0;0;0;0.9;0.9;0.9;0;0.9
13.03.2018;0.1;0;0;0.1;0;0;0.2;0;0.7;0.2;0;0.1;0.2;0;0;0;0.2;0.2;0.2;0;0.2
14.03.2018;3;2.3;3;4.8;3.2;0;3;0;7;5.9;2.3;4.9;5.9;0;0;0;5.9;5.9;5.9;0;5.9
15.03.2018;0.6;1.1;0.8;0.3;0.8;0;1.5;0;3.3;1.9;1.1;0.5;1.9;0;0;0;1.9;1.9;1.9;0;1.9
16.03.2018;1.1;0.6;0.3;0.1;0.4;0;0.5;0;3;0.5;0.6;0.6;0.5;0;0;0;0.5;0.5;0.5;0;0.5
17.03.2018;3.7;5.5;2.8;2.8;2.1;0;1.6;0;1.6;1.4;5.5;1.7;1.4;0;0;0;1.4;1.4;1.4;0;1.4
18.03.2018;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2018;0.8;0.4;1.1;0.3;0.3;0;1.4;0;1.9;1.3;0.4;0.9;1.3;0;0;0;1.3;1.3;1.3;0;1.3
20.03.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.03.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.03.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.03.2018;0.3;0.2;0.7;0.5;0.4;0;0.3;0;3.8;0.3;0.2;0.5;0.3;0;0;0;0.3;0.3;0.3;0;0.3
24.03.2018;0.5;0.2;0.1;0.5;0.8;0;0;0;0.8;0.4;0.2;0.8;0.4;0;0;0;0.4;0.4;0.4;0;0.4
25.03.2018;0.7;0.1;0.2;0.7;0.2;0;0.1;0;0.8;0.1;0.1;0.3;0.1;0;0;0;0.1;0.1;0.1;0;0.1
26.03.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.03.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.03.2018;0;0;0;0;0;0;0.1;0;0.5;0.3;0;0;0.3;0;0;0;0.3;0.3;0.3;0;0.3
29.03.2018;0;0.2;0.2;0;0;0;0.9;0;1.4;0.9;0.2;0;0.9;0;0;0;0.9;0.9;0.9;0;0.9
30.03.2018;0.2;1.2;1.8;0.7;1.4;0;2.5;0;2.3;2.5;1.2;0.9;2.5;0;0;0;2.5;2.5;2.5;0;2.5
31.03.2018;0;0;0;0;0;0;0;0;0.4;0.1;0;0;0.1;0;0;0;0.1;0.1;0.1;0;0.1
01.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.04.2018;0.9;0.3;0.4;0.6;0.3;0;0.3;0;3.1;0.4;0.3;0.3;0.4;0;0;0;0.4;0.4;0.4;0;0.4
03.04.2018;0.3;0.8;0.9;0.3;0.6;0;1.1;0;3.8;2.4;0.8;0.4;2.4;0;0;0;2.4;2.4;2.4;0;2.4
04.04.2018;0.2;0.5;0.2;0.2;0.2;0;0.5;0;2.2;1.4;0.5;0.1;1.4;0;0;0;1.4;1.4;1.4;0;1.4
05.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.04.2018;1.1;1.9;2.3;0.6;2.5;0;2.5;0;3.7;2.7;1.9;2.4;2.7;0;0;0;2.7;2.7;2.7;0;2.7
07.04.2018;1.1;0.9;1;1.2;0.9;0;0.8;0;1.1;0.8;0.9;0.9;0.8;0;0;0;0.8;0.8;0.8;0;0.8
08.04.2018;0.5;1.4;0.7;0.7;1.1;0;0.7;0;3;1.1;1.4;0.9;1.1;0;0;0;1.1;1.1;1.1;0;1.1
09.04.2018;0;0.4;0.8;0.2;0.4;0;2;0;0.3;1.6;0.4;0.1;1.6;0;0;0;1.6;1.6;1.6;0;1.6
10.04.2018;2.8;3.4;1.8;2.1;3;0;2.9;0;3.1;3.3;3.4;2.9;3.3;0;0;0;3.3;3.3;3.3;0;3.3
11.04.2018;0;0;0;0;0.1;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2018;5;3;4.1;3.3;2.4;0;2.3;0;3.1;2.9;3;3;2.9;0;0;0;2.9;2.9;2.9;0;2.9
13.04.2018;0.4;0;0;0.3;0.2;0;0.4;0;0;0.2;0;0.2;0.2;0;0;0;0.2;0.2;0.2;0;0.2
14.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.04.2018;0.3;0.2;0.6;0.8;1.1;0;0.3;0;2.3;0.1;0.2;0.7;0.1;0;0;0;0.1;0.1;0.1;0;0.1
16.04.2018;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.04.2018;0.4;0;0.1;0.5;0.3;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0
22.04.2018;0.8;0;0;0.5;0;0;0;0;0;0;0;1.8;0;0;0;0;0;0;0;0;0
23.04.2018;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0
24.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.04.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.04.2018;0.2;0.9;0.8;0.4;0.7;0;0.5;0;0.4;0.3;0.9;0.4;0.3;0;0;0;0.3;0.3;0.3;0;0.3
29.04.2018;0.5;0.5;0.3;0.5;0.4;0;1.4;0;2.5;1.3;0.5;0.2;1.3;0;0;0;1.3;1.3;1.3;0;1.3
30.04.2018;0.3;0.7;0.5;0.3;0.3;0;1.9;0;0.4;1.5;0.7;0.6;1.5;0;0;0;1.5;1.5;1.5;0;1.5
01.05.2018;0.1;0;0;0.3;0;0;0.1;0;0;0.2;0;0;0.2;0;0;0;0.2;0.2;0.2;0;0.2
02.05.2018;0;0;0.1;0;0;0;0.5;0;0.3;0.4;0;0;0.4;0;0;0;0.4;0.4;0.4;0;0.4
03.05.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.05.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.05.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2018;0;0;0;0;0;0;0.2;0;0;0.3;0;0;0.3;0;0;0;0.3;0.3;0.3;0;0.3
07.05.2018;0.6;0;0;0;0.6;0;0.4;0;0;0.6;0;1;0.6;0;0;0;0.6;0.6;0.6;0;0.6
08.05.2018;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.05.2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
