data,Alqueva,Castelo de bode,Marateca,Caia,Maranhão,Douro- Cabreira,Douro- Vilar,Douro-Tua,Alto- Lindoso,Miranda-Douro,Aguieira,Alvito,Valeira,Bemposta,Carrapatelo,Pocinho,Picote,Baixo Sabor,RÃ©gua,Crestuma - Lever,Varosa,TorrÃ£o
01.01.2018,0,0,0,0,0,0,0,0,0.075,0.05,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0.05,0
02.01.2018,0,0,0,0,0,0,0.1,0,0.5,0.275,0,0,0.275,0,0,0,0.275,0.275,0.275,0,0.275,0
03.01.2018,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0.15,0,0,0,0.15,0.15,0.15,0,0.15,0
04.01.2018,0,0,0,0,0,0,0.025,0,0.125,0.075,0,0,0.075,0,0,0,0.075,0.075,0.075,0,0.075,0
05.01.2018,0.725,0.7,0.55,0.3,0.6,0,0.425,0,1.475,0.375,0.7,0.525,0.375,0,0,0,0.375,0.375,0.375,0,0.375,0
06.01.2018,0.225,0,0,0.075,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
07.01.2018,0,0,0.025,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08.01.2018,0,0.025,0,0.275,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0
09.01.2018,0.3,0.3,0.225,0.45,0.25,0,0.2,0,0.45,0.175,0.3,0.3,0.175,0,0,0,0.175,0.175,0.175,0,0.175,0
10.01.2018,0.025,0.075,0.05,0,0.05,0,0.45,0,0.425,0.575,0.075,0.025,0.575,0,0,0,0.575,0.575,0.575,0,0.575,0
11.01.2018,0,0,0,0,0.025,0,0,0,0.15,0.025,0,0.025,0.025,0,0,0,0.025,0.025,0.025,0,0.025,0
12.01.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.01.2018,0.025,0.9,0.675,0.175,0.475,0,0.775,0,1.1,0.7,0.9,0.275,0.7,0,0,0,0.7,0.7,0.7,0,0.7,0
14.01.2018,0.125,0.05,0,0,0.05,0,0,0,0.275,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0
15.01.2018,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
16.01.2018,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
17.01.2018,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
18.01.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.01.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.01.2018,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
21.01.2018,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
22.01.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.01.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
