data;Alqueva;Castelo de Bode;Marateca;Miranda Douro;Veleira;Bemposta;Pocinho;Régua;Picote;Baixo Sabor;Varosa;Foz Tua;Carrapatelo;Crestuma-Lever;Vilar
01.01.2018;8.75;9.5;7;0;0;0;0;7;7;7;7;0;0;0;6.25
02.01.2018;9.75;11;8.5;0;0;0;0;9.75;9.75;9.75;9.75;0;0;0;8.75
03.01.2018;12;13.5;11.5;0;0;0;0;11.5;11.5;11.5;11.5;0;0;0;11.25
04.01.2018;12;12.5;10.75;0;0;0;0;11;11;11;11;0;0;0;10.5
05.01.2018;11;11;9.75;0;0;0;0;8;8;8;8;0;0;0;7.75
06.01.2018;7.75;7;5.5;0;0;0;0;3.75;3.75;3.75;3.75;0;0;0;2.75
07.01.2018;5.5;5.25;4.25;0;0;0;0;3;3;3;3;0;0;0;2.25
08.01.2018;5.5;6.25;4;0;0;0;0;3.75;3.75;3.75;3.75;0;0;0;1.75
09.01.2018;6.5;5.25;2.5;0;0;0;0;3.25;3.25;3.25;3.25;0;0;0;2.5
10.01.2018;10.25;8.5;5.25;0;0;0;0;6;6;6;6;0;0;0;5.5
11.01.2018;8.25;8.5;5.75;0;0;0;0;5;5;5;5;0;0;0;4.5
12.01.2018;6.5;6.5;3.5;0;0;0;0;3.75;3.75;3.75;3.75;0;0;0;2.75
13.01.2018;8.25;7.75;3.5;0;0;0;0;5;5;5;5;0;0;0;4
14.01.2018;7.75;6.75;3.75;0;0;0;0;3.75;3.75;3.75;3.75;0;0;0;3
15.01.2018;5.75;6;4.25;0;0;0;0;4.25;4.25;4.25;4.25;0;0;0;3
16.01.2018;8.5;9;8.25;0;0;0;0;8.5;8.5;8.5;8.5;0;0;0;7.5
17.01.2018;11.25;11.25;9;0;0;0;0;9;9;9;9;0;0;0;8
18.01.2018;10.75;9.75;8.75;0;0;0;0;7.75;7.75;7.75;7.75;0;0;0;5.75
19.01.2018;9.5;10;9.5;0;0;0;0;8.5;8.5;8.5;8.5;0;0;0;7
20.01.2018;9.75;9.5;8.75;0;0;0;0;7.75;7.75;7.75;7.75;0;0;0;6.75
21.01.2018;10.5;11.75;9.5;0;0;0;0;9.25;9.25;9.25;9.25;0;0;0;8.25
22.01.2018;11;12;9.25;0;0;0;0;9.5;9.5;9.5;9.5;0;0;0;8.25
23.01.2018;10.25;10.5;9;0;0;0;0;8.75;8.75;8.75;8.75;0;0;0;7
24.01.2018;9;9.25;6.75;0;0;0;0;7.75;7.75;7.75;7.75;0;0;0;6.5
25.01.2018;7;9.25;7;0;0;0;0;7;7;7;7;0;0;0;6
26.01.2018;6.75;7.25;4.75;0;0;0;0;4;4;4;4;0;0;0;2.5
27.01.2018;6.5;7.5;5.75;0;0;0;0;5.25;5.25;5.25;5.25;0;0;0;3.5
28.01.2018;8.25;9;6.5;0;0;0;0;6;6;6;6;0;0;0;4.25
29.01.2018;11.25;12;8.5;0;0;0;0;7;7;7;7;0;0;0;5.25
30.01.2018;10.75;11;8.25;0;0;0;0;7;7;7;7;0;0;0;5.25
31.01.2018;11.25;11;7.75;0;0;0;0;7.75;7.75;7.75;7.75;0;0;0;5.75
01.02.2018;9;9;7;0;0;0;0;5.5;5.5;5.5;5.5;0;0;0;4.75
02.02.2018;6.75;7.5;4.5;0;0;0;0;3.25;3.25;3.25;3.25;0;0;0;2
03.02.2018;5.75;6.75;4.5;0;0;0;0;3.75;3.75;3.75;3.75;0;0;0;2.75
04.02.2018;8;7.5;4.75;0;0;0;0;3.75;3.75;3.75;3.75;0;0;0;2.75
05.02.2018;5;6.25;4.25;0;0;0;0;3;3;3;3;0;0;0;1.5
06.02.2018;5.25;4.5;2.75;0;0;0;0;1.5;1.5;1.5;1.5;0;0;0;0
07.02.2018;4.25;5;3;0;0;0;0;2;2;2;2;0;0;0;0.75
08.02.2018;4;4.75;2;0;0;0;0;1.75;1.75;1.75;1.75;0;0;0;0
09.02.2018;5.75;7.75;5.25;0;0;0;0;5.5;5.5;5.5;5.5;0;0;0;4.5
10.02.2018;7.25;7.5;5.75;0;0;0;0;4.75;4.75;4.75;4.75;0;0;0;3.25
11.02.2018;9;10.25;8;0;0;0;0;7.75;7.75;7.75;7.75;0;0;0;6.5
12.02.2018;10.75;9.25;7.25;0;0;0;0;5;5;5;5;0;0;0;4.5
13.02.2018;6.5;6.75;5;0;0;0;0;3.5;3.5;3.5;3.5;0;0;0;3.25
14.02.2018;8.5;9.25;7.75;0;0;0;0;8.25;8.25;8.25;8.25;0;0;0;7.5
15.02.2018;10.5;11.75;9.5;0;0;0;0;9.75;9.75;9.75;9.75;0;0;0;9.5
16.02.2018;11.75;11.75;8.75;0;0;0;0;10.25;10.25;10.25;10.25;0;0;0;9.5
17.02.2018;10.5;11.25;9.25;0;0;0;0;8.75;8.75;8.75;8.75;0;0;0;8.25
18.02.2018;10.75;10.5;8.25;0;0;0;0;6.75;6.75;6.75;6.75;0;0;0;5
19.02.2018;10.75;11.5;9.5;0;0;0;0;8.75;8.75;8.75;8.75;0;0;0;6.75
20.02.2018;11.25;12.25;10;0;0;0;0;8.75;8.75;8.75;8.75;0;0;0;7
21.02.2018;10.75;11.25;8.5;0;0;0;0;7.5;7.5;7.5;7.5;0;0;0;5.5
22.02.2018;8.5;9.25;6;0;0;0;0;5.25;5.25;5.25;5.25;0;0;0;3
23.02.2018;8.25;8;5.5;0;0;0;0;4.25;4.25;4.25;4.25;0;0;0;2.25
24.02.2018;8.5;7.75;5;0;0;0;0;5.25;5.25;5.25;5.25;0;0;0;2.75
25.02.2018;11;9.25;5.25;0;0;0;0;6;6;6;6;0;0;0;3.75
26.02.2018;11;10.75;6.75;0;0;0;0;6.75;6.75;6.75;6.75;0;0;0;5.25
27.02.2018;12.5;12.5;7.25;0;0;0;0;3;3;3;3;0;0;0;1.25
28.02.2018;13.75;13.75;11.5;0;0;0;0;5.25;5.25;5.25;5.25;0;0;0;5
01.03.2018;12.5;11.5;9.5;0;0;0;0;7;7;7;7;0;0;0;7
02.03.2018;11.5;10;7;0;0;0;0;4.75;4.75;4.75;4.75;0;0;0;5
03.03.2018;11.25;10;8.75;0;0;0;0;6.5;6.5;6.5;6.5;0;0;0;6.5
